weight_monotonicity, weight_smoothness, weight_empty, weight_max_corner, weight_max_tile, weight_node_average, weight_node_access, score, max_tile
2.02, 0.8, 1.61, 0.72, 1.25, 1.87, 0.1, 11928, 1024
2.02, 0.8, 1.61, 0.72, 1.25, 1.87, 0.1, 12236, 1024
2.44, 2.18, 1.18, 0.21, 1.46, 0.19, 0.06, 1128, 128
2.44, 2.18, 1.18, 0.21, 1.46, 0.19, 0.06, 3416, 256
2.44, 2.18, 1.18, 0.21, 1.46, 0.19, 0.06, 4496, 256
2.44, 2.18, 1.18, 0.21, 1.46, 0.19, 0.06, 4820, 256
2.44, 2.18, 1.18, 0.21, 1.46, 0.19, 0.06, 6148, 512
2.29, 1.61, 0.99, 0.15, 0.72, 0.17, 0.3, 4184, 256
2.29, 1.61, 0.99, 0.15, 0.72, 0.17, 0.3, 5916, 512
2.29, 1.61, 0.99, 0.15, 0.72, 0.17, 0.3, 6560, 512
2.29, 1.61, 0.99, 0.15, 0.72, 0.17, 0.3, 7080, 512
2.29, 1.61, 0.99, 0.15, 0.72, 0.17, 0.3, 8632, 512
1.82, 2.31, 0.51, 1.04, 0.25, 0.95, 0.18, 6848, 512
1.82, 2.31, 0.51, 1.04, 0.25, 0.95, 0.18, 7000, 512
1.82, 2.31, 0.51, 1.04, 0.25, 0.95, 0.18, 11852, 1024
1.82, 2.31, 0.51, 1.04, 0.25, 0.95, 0.18, 12188, 1024
1.82, 2.31, 0.51, 1.04, 0.25, 0.95, 0.18, 13932, 1024
2.35, 0.7, 1.26, 1.47, 0.57, 0.77, 0.21, 5404, 512
2.35, 0.7, 1.26, 1.47, 0.57, 0.77, 0.21, 6284, 512
2.35, 0.7, 1.26, 1.47, 0.57, 0.77, 0.21, 6376, 512
2.35, 0.7, 1.26, 1.47, 0.57, 0.77, 0.21, 6976, 512
2.35, 0.7, 1.26, 1.47, 0.57, 0.77, 0.21, 13424, 1024
2.53, 0.6, 0.97, 0.8, 1.43, 0.62, 0.05, 1400, 128
2.53, 0.6, 0.97, 0.8, 1.43, 0.62, 0.05, 5664, 512
2.53, 0.6, 0.97, 0.8, 1.43, 0.62, 0.05, 6636, 512
2.53, 0.6, 0.97, 0.8, 1.43, 0.62, 0.05, 7188, 512
2.53, 0.6, 0.97, 0.8, 1.43, 0.62, 0.05, 7264, 512
2.46, 0.56, 0.94, 0.19, 1.47, 1.24, 0.39, 1860, 256
2.46, 0.56, 0.94, 0.19, 1.47, 1.24, 0.39, 5172, 512
2.46, 0.56, 0.94, 0.19, 1.47, 1.24, 0.39, 5404, 512
2.46, 0.56, 0.94, 0.19, 1.47, 1.24, 0.39, 6308, 512
2.46, 0.56, 0.94, 0.19, 1.47, 1.24, 0.39, 7060, 512
2.56, 1.21, 0.97, 1.37, 1.15, 1.81, 0.29, 2996, 256
2.56, 1.21, 0.97, 1.37, 1.15, 1.81, 0.29, 4720, 512
2.56, 1.21, 0.97, 1.37, 1.15, 1.81, 0.29, 7088, 512
2.56, 1.21, 0.97, 1.37, 1.15, 1.81, 0.29, 11440, 1024
2.56, 1.21, 0.97, 1.37, 1.15, 1.81, 0.29, 11920, 1024
2.41, 2.46, 1.36, 0.66, 0.94, 1.34, 0.38, 2092, 128
2.41, 2.46, 1.36, 0.66, 0.94, 1.34, 0.38, 4932, 256
2.41, 2.46, 1.36, 0.66, 0.94, 1.34, 0.38, 5444, 512
2.41, 2.46, 1.36, 0.66, 0.94, 1.34, 0.38, 6244, 512
2.41, 2.46, 1.36, 0.66, 0.94, 1.34, 0.38, 11516, 1024
2.49, 2.83, 1.14, 0.53, 0.69, 1.45, 0.27, 3020, 256
2.49, 2.83, 1.14, 0.53, 0.69, 1.45, 0.27, 4104, 256
2.49, 2.83, 1.14, 0.53, 0.69, 1.45, 0.27, 5432, 512
2.49, 2.83, 1.14, 0.53, 0.69, 1.45, 0.27, 5404, 512
2.49, 2.83, 1.14, 0.53, 0.69, 1.45, 0.27, 6272, 512
1.73, 1.83, 1.84, 0.78, 0.94, 0.98, 0.35, 3192, 256
1.73, 1.83, 1.84, 0.78, 0.94, 0.98, 0.35, 3828, 256
1.73, 1.83, 1.84, 0.78, 0.94, 0.98, 0.35, 4224, 256
1.73, 1.83, 1.84, 0.78, 0.94, 0.98, 0.35, 5044, 512
1.73, 1.83, 1.84, 0.78, 0.94, 0.98, 0.35, 7096, 512
1.46, 1.73, 1.65, 1.22, 0.36, 0.4, 0.1, 1300, 128
1.46, 1.73, 1.65, 1.22, 0.36, 0.4, 0.1, 3424, 256
1.46, 1.73, 1.65, 1.22, 0.36, 0.4, 0.1, 4312, 256
1.46, 1.73, 1.65, 1.22, 0.36, 0.4, 0.1, 5080, 256
